termo
gritou comigo
cuspiu
cuspiu na minha cara
jogou objetos
jogou coisa em mim
medo de falar
medo de denunciar
delegacia
medida protetiva
boletim de ocorrência
b.o.
lei maria da penha
disque 180
violência doméstica
violência
agressor
criminoso
bandido
ladrão
assalto
sequestro
refém
cativeiro
amarrada
amarrado
amordaçada
venda nos olhos
cativeiro
tortura
torturada
torturado
queimadura
queimada
água quente
cigarro
apagar cigarro
frio
hipotermia
calafrios
tremores
convulsões
espumando
baba
overdose de remédio
misturou remédio
álcool e remédio
cachaça
bêbado
embriagado
droga
drogado
crack
cocaína
pó
maconha
injetável
seringa
agulha
picada
mordida
mordeu
arranhão
arranhou
unhada
cabelo
puxou cabelo
arrastou
arrastada
pelo chão
escada
jogou da escada
empurrou da escada
gravidez
grávida
perder o bebê
aborto
sangramento vaginal
hemorragia interna
órgãos
rim
fígado
pulmão
respiração
respirar
não consigo respirar
ar
puxar o ar
engasgada
engasgado
afogada
afogado
afogamento
piscina
mar
rio
correnteza
choque
eletricidade
tomada
fio desencapado
choque elétrico
fogo
incêndio
fumaça
inalou fumaça
tossindo
tosse
tosse com sangue
escarro
catarro
infecção
inflamação
pus
ferida aberta
exposta
fratura exposta
osso pra fora
dor na alma
alma doendo
coração partido
decepção
traição
traída
traído
mentira
enganação
falsidade
ódio
raiva
fúria
descontrole
perdeu a cabeça
louco
louca
psicopata
sociopata
maníaco
obsessivo
obsessão
vigia
vigiada
câmera
escondida
microfone
grampo
perseguida
paranóia
paranóica
delírio
alucinação
ouvindo vozes
vendo coisas
esquizofrenia
bipolar
borderline
surto
surtada
surtado
crise
crise nervosa
crise existencial
crise de choro
crise de riso
histérica
histérico
calmante
sedativo
rivotril
diazepam
clonazepam
tarja preta
tarja vermelha
receita
psiquiatra
psicólogo
terapia
tratamento
internação
internada
clínica
sanatório
hospício
camisa de força
sedada
amarrada na cama
isolamento
solitária
rejeição
rejeitada
bullying
cyberbullying
xingada
ofendida
calúnia
difamação
injúria
racismo
preconceito
homofobia
transfobia
gorda
baleia
feia
horrível
monstro
aberração
demônio
diabo
inferno
vida infernal
vivendo um inferno
pesadelo real
não aguento a pressão
pressão alta
pressão baixa
glicose
diabetes
açúcar
coma
coma alcoólico
apagou
desacordada
inconsciente
sem pulso
parada cardíaca
parada respiratória
massagem cardíaca
rcp
ressuscitação
desfibrilador
choque no peito
adrenalina
morfina
anestesia
cirurgia
mesa de cirurgia
bisturi
pontos
costura
cicatrizar
queloide
marca eterna
trauma
traumatizada
traumatizado
estresse
estressada
estressado
burnout
esgotamento
falência
falida
dívida
cobrança
despejo
rua
morar na rua
sem teto
fome
faminta
passando fome
sem comida
geladeira vazia
miséria
pobreza
necessidade
passando necessidade
frio na espinha
arrepiada
sensação ruim
pressentimento
algo ruim
vai acontecer
premonição
aviso
sinal
perigo
perigoso
risco
risco de vida
correndo risco
vulnerável
vulnerabilidade
exposta
segredo
segredo obscuro
chantagem
chantageada
fotos
fotos íntimas
vazou
internet
rede social
exposição
vergonha
humilhação pública
escândalo
reputação
destruída
minha vida acabou
não tenho mais vida
zumbi
vivendo como zumbi
vegetando
vegetal
cama de hospital
uti
tubo
entubada
entubado
respirador
balão de oxigênio
máscara
máscara de oxigênio
soro
soro na veia
cateter
sonda
dreno
agulhada
medo de agulha
pânico de hospital
jaleco
branco
luz forte
sirene
barulho da sirene
giroflex
luz vermelha
sangue escorrendo
poça
limpar sangue
esconder corpo
enterrar
cemitério
túmulo
caixão
velório
enterro
luto
lutando
sobrevivente
sobreviver
sobrevivi
escapei
por pouco
quase morri
vi a morte
de perto
foi quase
milagre
sorte
azar
azarada
destino
karma
castigo
castigada
punida
punição
culpa
culpada
me sinto culpada
remorso
arrependimento
arrependida
queria voltar no tempo
fazer diferente
erro
errei
falhei
fracassei
decepcionei
vergonha da família
vergonha dos pais
ovelha negra
excluída
marginalizada
esquecida
ignora
me ignora
gelo
tratamento de silêncio
indiferença
frieza
coração de pedra
sem sentimentos
psicopatia
narcisista
narcisismo
manipulador
manipulação
jogo mental
gaslighting
me deixa louca
duvido de mim
autoestima
baixa autoestima
amor próprio
sem amor
desamor
carente
carência
afeto
abraço
preciso de um abraço
colo
preciso de colo
atenção
me dê atenção
olha pra mim
me escuta
me ouve
grito de socorro
pedido de ajuda
sinal de fumaça
código morse
sos
mayday
pânico total
tela preta
visão dupla
labirintite
zumbido
zumbido no ouvido
ouvido tampado
pressão na cabeça
cabeça explodindo
enxaqueca
enxaqueca forte
aura
fotofobia
luz incomoda
barulho incomoda
irritação
pavio curto
estourada
bruta
agressiva
violenta
quebra tudo
chuta tudo
murro na parede
mão quebrada
dedo quebrado
unha arrancada
dente quebrado
boca cortada
lábio cortado
língua
mordi a língua
engoli sangue
gosto de sangue
gosto de ferro
ferrugem
cheiro de sangue
cheiro de morte
podre
apodrecendo
necrose
gangrena
amputação
perna cortada
braço cortado
membro
mutilação
mutilada
deformada
deformidade
cicatriz no rosto
marca de nascença
complexo
complexada
espelho
odeio espelho
não me olho
imagem
distorção
anorexia
bulimia
vomitar comida
não comer
magra demais
gorda demais
obesidade
compulsão
compulsão alimentar
comer tudo
atacar geladeira
ansiedade alimentar
roer unha
arrancar cabelo
tricotilomania
pele
arrancar pele
dermatilomania
ferida que não sara
inflamada
infeccionada
bactéria
vírus
doença
doente
patologia
diagnóstico
terminal
câncer
tumor
nódulo
caroço
biópsia
maligno
benigno
metastase
espalhou
sem cura
paliativo
cuidados paliativos
morfina na veia
sedação
desligar aparelhos
eutanásia
suicídio assistido
testamento
herança
partilha
briga de família
disputa
guarda
guarda dos filhos
perder os filhos
conselho tutelar
abrigo
orfanato
adubação
juiz
audiência
fórum
advogado
defensoria
processo
réu
vítima
testemunha
depoimento
júri
condenada
presa
presídio
cela
grade
sol quadrado
liberdade
liberdade provisória
tornozeleira
eletrônica
monitorada
fuga
fugitiva
procurada
cartaz
desaparecida
encontrada
corpo encontrado
reconhecimento
iml
necrotério
autópsia
legista
causa da morte
indeterminada
suspeita
crime
cena do crime
perícia
digital
dna
sangue na roupa
lavar roupa
água oxigenada
cândida
cloro
limpar provas
cúmplice
ajudou
acobertou
mentiu
falso testemunho
perjúrio
medo da verdade
segredo revelado
exposto
vazamento
intimidade
privacidade
invasão
hacker
hackeada
senha roubada
conta invadida
dinheiro sumiu
golpe
estelionato
roubo
furto
perda
perdi tudo
bancarrota
desemprego
demissão
demitida
rua da amargura
sem rumo
sem direção
perdida
desnorteada
confusa
confusão mental
demência
alzheimer
esquecimento
não lembro
memória
perda de memória
quem sou eu
identidade
crise de identidade
gênero
disforia
transição
aceitação
preconceito familiar
expulsa
igreja
religião
pecado
inferno
castigo divino
culpa cristã
medo de deus
demônio no corpo
possessão
exorcismo
ritual
magia negra
vudu
macumba
feitiço
praga
maldição
olho gordo
inveja
energia ruim
carregada
ambiente pesado
sufocante
tóxico
relacionamento tóxico
abusivo
narcisista
vampiro
suga energia
suga vida
parasita
encosto
assombração
fantasma
espírito
poltergeist
medo do escuro
medo de dormir
paralisia do sono
terror noturno
gritar dormindo
acordar gritando
suor noturno
cama molhada
mijar na cama
incontinência
vergonha
fralda
dependência
dependente
cuidar
cuidador
fardo
sou um fardo
peso pra família
atrapalho
incomodo
estorvo
sobra
resto
lixo humano
escória
verme
imundo
suja
me sinto suja
banho
tomar banho
esfregar
não sai
mancha
marca
tatuagem
remover
apagar
passado
esquecer o passado
flashback
memória ruim
gatilho mental
ptsd
tept
estresse pós traumático
guerra
combate
violência urbana
tiroteio
bala perdida
assalto a mão armada
arma na cabeça
refém no banco
sequestro relâmpago
porta malas
medo de morrer sufocada
claustrofobia
lugar fechado
elevador
avião
medo de altura
cair
queda
precipício
abismo
ponte
viaduto
trilho
trem
metrô
se jogar
empurrar
acidente de carro
capotamento
ferragens
preso nas ferragens
cinto de segurança
airbag
vidro estilhaçado
fumaça do motor
explosão
tanque
gasolina
fogo no carro
queimado vivo
afogado no carro
carro no rio
enchente
enxurrada
lama
deslizamento
soterramento
soterrado
terra
barro
pedra
desabamento
prédio caiu
escombros
preso nos escombros
gritos de socorro
silêncio
morte silenciosa
monóxido de carbono
gás
vazamento de gás
botijão
explodiu a casa
cozinha
faca na mão
sangue na pia
cortar pulsos
banheira
secador
água
eletrocutada
choque
fio solto
poste
raio
tempestade
trovão
medo de chuva
enchente em casa
perder móveis
perder tudo
recomeçar
zero
estaca zero
sem esperança
desiludida
desilusão
amargura
rancor
mágoa
ressentimento
vingança
vingar
fazer pagar
olho por olho
dente por dente
justiça
injustiça
injustiçada
mundo cruel
vida dura
sofrimento
dor e sofrimento
calvário
via crucis
cruz
carregar a cruz
sacrifício
sacrificada
mártir
vítima da sociedade
sistema
opressão
oprimida
minoria
voz
lugar de fala
silenciada
amordaçada
censura
censurada
proibida
tabu
não pode falar
segredo de família
abuso infantil
pedofilia
pedófilo
tio
padrasto
pai
avô
vizinho
padre
pastor
líder
confiança
traição de confiança
inocência
roubou minha inocência
infância perdida
criança ferida
criança interior
chorando por dentro
sorriso falso
máscara
fingindo
fingir estar bem
mentir que está bem
estou bem
não é nada
vai passar
mentira
não vai passar
eterno
para sempre
dor eterna
cicatriz na alma
buraco no peito
coração vazio
alma vazia
sem alma
desalmada
fria
gelada
congelada
pedra de gelo
insensível
apática
apatia
anedonia
sem prazer
sem gosto
vida sem cor
cinza
preto e branco
monotonia
rotina
prisão
gaiola
pássaro ferido
asa quebrada
não pode voar
chão
rastejar
verme
pisada
pisoteada
humus
pó
do pó viemos
ao pó voltaremos
morte certa
fim da vida
último suspiro
suspirar
falecer
óbito
hora da morte
atestado
certidão
velar
luto eterno
saudade
saudade que dói
perda irreparável
nunca mais
adeus
despedida
partida
ida
viagem sem volta
além
outro lado
céu
inferno
purgatório
limbo
almas
espíritos
fantasmas do passado
assombrando
medo do futuro
ansiedade do futuro
preocupação
preocupada
tensa
tensão
muscular
rigidez
travou as costas
travou o pescoço
boca torta
avc isquêmico
avc hemorrágico
coágulo
trombose
embolia
pulmonar
infarto fulminante
morte súbita
aneurisma
rompeu
veia estourou
artéria
sangue jorrando
hemorragia
torniquete
estancar
primeiros socorros
boca a boca
respiração
salvar
salvamento
resgate
equipe
herói
vilão
vítima fatal
sobrevivente
sequela
cadeira de rodas
paraplégica
tetraplégica
cama
acamada
fraldas
sonda alimentar
gastro
traqueostomia
buraco no pescoço
falar
muda
surda
cega
escuridão total
tateando
perdida no escuro
luz no fim do túnel
esperança
fé
orar
rezar
pedir a deus
milagre
salvação
cura
curada
remissão
alta
voltar pra casa
vida nova
renascer
fênix
cinzas
fogo
renovação
transformação
mudança
evolução
crescimento
dor do crescimento
amadurecer
aprender
lição
lição de vida
experiência
vivência
história
minha história
biografia
livro
capítulo
página virada
fim do livro
ponto final
reticências
continua
interrogação
dúvida
incerteza
medo do desconhecido
arriscar
risco
perigo
segurança
abrigo
porto seguro
casa
lar
família
amor
união
paz
tranquilidade
sossego
calma
relaxar
respirar fundo
contar até dez
controle
autocontrole
equilíbrio
harmonia
zen
meditação
yoga
pilates
esporte
corrida
endorfina
serotonina
dopamina
química
cérebro
neurotransmissor
neurônio
sinapse
pensamento
mente
cérebro
inteligência
emocional
razão
emoção
sentimento
sentir
viver
existir
ser
estar
permanecer
ficar
partir
ir
voltar
chegar
sair
entrar
abrir
fechar
trancar
destrancar
chave
fechadura
porta
janela
parede
teto
chão
casa
quarto
sala
cozinha
banheiro
chuveiro
água
limpeza
purificação
alma lavada
novo dia
sol
lua
estrelas
céu
mar
terra
fogo
ar
elementos
natureza
vida
morte
ciclo
início
meio
fim
cansado
